Sample,  SNR,  log(T2ml),  D peak (low alpha), Dpeak (high alpha), Dml (low alpha),  Dml (high alpha),  Dml (low alpha low signal removed),  Dml (high alpha low signal removed),  fraction over D expected (low alpha),  fraction over D expected (high alpha)  
C40, 41.3, -0.32, 2.39e-09, 2.39e-09, 2.92e-09, 2.86e-09, 3.26e-09, 3e-09, 0.15, 0.12
C45, 30.2, -0.33, 5.04e-09, 3.07e-09, 2.95e-09, 2.78e-09, 3.69e-09, 3.29e-09, 0.09, 0.11
C60, 34.8, -1.31, 2.71e-09, 2.71e-09, 2.78e-09, 2.62e-09, 2.73e-09, 2.85e-09, 0.09, 0.07
N1, 50.9, 0.10, 2.71e-09, 2.71e-09, 2.11e-09, 2.18e-09, 2.74e-09, 2.75e-09, 0.02, 0.00
N3, 49.5, -0.72, 2.39e-09, 2.39e-09, 2.27e-09, 2.17e-09, 2.57e-09, 2.76e-09, 0.06, 0.01
N4, 40.9, -1.29, 2.39e-09, 2.71e-09, 3.33e-09, 2.92e-09, 3.7e-09, 2.85e-09, 0.15, 0.13
N5, 56.0, -0.27, 2.39e-09, 2.39e-09, 2.09e-09, 2.28e-09, 2.53e-09, 2.62e-09, 0.06, 0.04
N6, 29.8, -1.14, 4.74e-08, 4.18e-08, 1.93e-08, 1.82e-08, 2.83e-08, 2.42e-08, 0.71, 0.79
N9, 37.9, -1.23, 5.04e-09, 4.45e-09, 1.22e-08, 1.32e-08, 1.44e-08, 1.57e-08, 0.52, 0.61
N10, 33.9, -0.89, 2.11e-09, 2.71e-09, 5.83e-09, 3.99e-09, 6.32e-09, 4.81e-09, 0.37, 0.28
N12, 19.5, -1.99, 1.75e-08, 1.55e-08, 1.02e-08, 9.66e-09, 1.24e-08, 1.39e-08, 0.88, 0.71
N13, 79.8, -1.48, 2.11e-09, 3.47e-09, 7.95e-09, 5.95e-09, 7.85e-09, 6.04e-09, 0.45, 0.40
N14, 58.5, -1.53, 5.37e-08, 2.25e-08, 1.53e-08, 1.28e-08, 1.65e-08, 1.62e-08, 0.77, 0.70
N15, 18.5, -2.08, 1e-07, 6.88e-08, 6.09e-09, 3.88e-09, 7.48e-09, 4.39e-09, 0.35, 0.28
N16, 45.4, -0.55, 3.47e-09, 3.93e-09, 4.49e-09, 4.67e-09, 6.47e-09, 6.07e-09, 0.37, 0.36
N18, 29.1, -0.74, 3.47e-09, 4.45e-09, 5.6e-09, 5.31e-09, 5.85e-09, 6.19e-09, 0.32, 0.35
N20, 47.0, -1.83, 3.47e-09, 2.71e-09, 4.55e-09, 4.31e-09, 4.92e-09, 4.29e-09, 0.19, 0.26
N21, 33.6, -0.42, 3.47e-09, 3.47e-09, 4.18e-09, 3.99e-09, 4.76e-09, 4.35e-09, 0.24, 0.24
N22, 67.7, -1.74, 8.83e-08, 3.93e-09, 7.86e-09, 3.8e-10, 8.68e-09, 3.58e-10, 0.54, 0.15
N24, 56.7, -0.55, 2.11e-09, 2.39e-09, 2.23e-09, 2.33e-09, 2.48e-09, 2.52e-09, 0.08, 0.06
N25, 43.3, -0.99, 1.21e-08, 1.55e-08, 1.16e-08, 9.8e-09, 1.5e-08, 1.3e-08, 0.69, 0.64
N26, 24.5, -1.18, 4.45e-09, 3.26e-08, 1.64e-08, 1.47e-08, 2.17e-08, 1.92e-08, 0.73, 0.74
N28, 39.6, -0.99, 2.88e-08, 2.88e-08, 1.31e-08, 1.55e-08, 1.55e-08, 1.73e-08, 0.61, 0.69
N30, 32.2, -0.54, 1e-07, 8.83e-08, 5.5e-08, 3.81e-08, 6.23e-08, 4.09e-08, 0.80, 0.75
S6, 37.6, -0.55, 2.71e-09, 2.71e-09, 3.41e-09, 2.88e-09, 3.83e-09, 2.96e-09, 0.22, 0.13
S7, 33.2, -1.82, 1.45e-09, 9.4e-09, 7.94e-09, 5.16e-09, 8.03e-09, 5.33e-09, 0.55, 0.38
S8, 32.8, -1.55, 2.39e-09, 3.07e-09, 3.63e-09, 3.16e-09, 4.22e-09, 3.09e-09, 0.12, 0.14
S10, 28.6, -1.38, 3.47e-09, 3.47e-09, 5.35e-09, 3.49e-09, 6.42e-09, 3.4e-09, 0.29, 0.20
S11, 46.8, -2.25, 1.55e-08, 1.21e-08, 1.56e-08, 9.32e-09, 1.61e-08, 1.06e-08, 0.88, 0.61
T1, 51.5, 0.10, 2.11e-09, 2.39e-09, 1.86e-09, 2e-09, 2.02e-09, 2.42e-09, 0.02, 0.01
T2, 43.6, -0.95, 2.39e-09, 2.39e-09, 2.83e-09, 2.69e-09, 2.95e-09, 2.77e-09, 0.13, 0.08
T3, 40.0, -0.95, 2.71e-09, 2.71e-09, 2.53e-09, 2.47e-09, 2.89e-09, 2.93e-09, 0.06, 0.06
T4, 53.7, -0.38, 2.71e-09, 2.71e-09, 2.31e-09, 2.65e-09, 2.96e-09, 2.94e-09, 0.12, 0.13
S1, 48.2, -1.79, 3.93e-09, 5.04e-09, 5.93e-09, 4.99e-09, 6.39e-09, 5.32e-09, 0.41, 0.37
