Sample, Gpeak, Gmean, Gml, Gmean above threshold 0.15, Gml above threshold 0.15, Fraction G over 10, Fraction G over 100  
C40, 44.98, 22.92, 2.54, 16.86, 2.28, 0.27, 0.04
C45, 56.90, 54.09, 2.11, 16.58, 1.77, 0.27, 0.05
C60, 22.23, 12.99, 1.63, 12.33, 1.66, 0.23, 0.03
N1, 0.10, 0.78, 0.45, 0.66, 0.43, 0.00, 0.00
N10, 56.90, 76.80, 7.37, 58.09, 11.00, 0.50, 0.12
N12, 91.03, 170.49, 44.69, 178.01, 110.05, 0.81, 0.39
N13, 71.97, 323.94, 39.78, 380.50, 197.40, 0.71, 0.35
N14, 71.97, 208.24, 28.00, 124.79, 97.44, 0.71, 0.25
N15, 71.97, 352.50, 175.56, 326.33, 209.25, 0.96, 0.68
N16, 44.98, 75.58, 8.31, 38.50, 10.26, 0.53, 0.11
N18, 56.90, 144.35, 14.02, 94.84, 74.09, 0.62, 0.21
N20, 0.10, 2.07, 0.83, 1.96, 0.81, 0.04, 0.00
N21, 71.97, 16.45, 0.86, 16.30, 0.92, 0.21, 0.00
N22, 372.76, 441.57, 331.99, 425.45, 351.87, 0.99, 0.93
N24, 0.10, 7.33, 1.19, 4.19, 1.10, 0.10, 0.01
N25, 56.90, 282.68, 49.97, 241.72, 105.64, 0.79, 0.32
N26, 71.97, 414.84, 117.54, 272.97, 154.22, 0.89, 0.49
N28, 71.97, 536.92, 281.87, 520.23, 348.36, 0.96, 0.79
N3, 0.10, 3.85, 1.00, 2.62, 0.88, 0.06, 0.00
N30, 71.97, 498.95, 98.96, 374.17, 173.09, 0.85, 0.43
N4, 0.10, 8.79, 1.62, 7.57, 1.49, 0.18, 0.01
N5, 0.10, 7.53, 1.00, 2.56, 0.85, 0.06, 0.01
N6, 91.03, 437.89, 139.13, 386.10, 239.64, 0.89, 0.61
N9, 56.90, 289.38, 106.72, 283.39, 160.75, 0.91, 0.53
S1, 44.98, 35.65, 6.56, 33.42, 6.97, 0.50, 0.09
S10, 56.90, 34.29, 6.06, 34.91, 6.74, 0.48, 0.10
S11, 115.14, 91.98, 23.21, 106.34, 54.02, 0.73, 0.28
S6, 44.98, 41.74, 2.35, 23.09, 2.10, 0.29, 0.07
S7, 44.98, 28.16, 5.13, 27.48, 5.34, 0.45, 0.07
S8, 44.98, 29.39, 5.38, 28.61, 5.51, 0.46, 0.08
T1, 0.10, 2.33, 0.78, 1.45, 0.71, 0.01, 0.00
T2, 0.10, 7.01, 1.47, 5.87, 1.29, 0.15, 0.00
T3, 0.10, 7.35, 1.46, 5.21, 1.27, 0.15, 0.00
T4, 44.98, 17.90, 1.65, 9.05, 1.46, 0.18, 0.02
