Sample,Aquifer,iron content,chi x 10-6,log(T2ml),log(T1ml),T1T2 ratio,fraction of T2 dist < 10 ms,fraction of T2 dist < 33 ms,gAV,Gpeak from 2D distribution,Arithmetic mean from dist.,Arithmetic mean from dist.,Arithmetic mean from dist.,Arithmetic mean from dist.,Geometric mean from dist.,Geometric mean from dist.,Geometric mean from dist.,Geometric mean from dist.
C40,1,7355,262,-0.52,-0.33,1.55,0.07,0.09,28,35.5,44.32,48.76,52.11,60.85,6.18,7.3,8.57,15.93
C45,1,14320,411,-0.47,-0.29,1.51,0.06,0.09,38,28,62.38,66.51,69.27,76.75,10.57,13.78,16.87,26.08
C60,1,12015,66.5,-1.05,-0.9,1.41,0.15,0.3,31,28,18.71,20.17,21.17,25.77,2.2,2.06,1.95,1.63
N1,2,1944,-11.41,0.07,0.25,1.41,0.02,0.03,6.33,1,0.98,0.91,0.85,0.8,0.47,0.42,0.39,0.31
N10,1,14780,952.59,-1.48,-1.27,1.48,0.2,0.5,66.48,57,81.74,92.94,100.71,123.66,9.42,10.05,10.3,9.99
N12,1,18140,1892.32,-2,-1.68,2.01,0.53,0.81,129.99,146,133.39,150.2,164.87,228.63,29.13,33.3,36.53,50.97
N13,2,1796,12476.3,-1.47,-0.22,18.7,0.1,0.45,119.58,72,237.54,297.66,348.75,548.46,33.95,44.41,55.54,126.3
N14,2,6229,14233.4,-1.49,-0.3,17.04,0.12,0.48,130,91,142.15,169.4,192.14,287.44,23.63,26.59,28.99,40.17
N15,1,32840,5541.22,-1.84,-1.21,4.04,0.41,0.61,213,471,314.4,357.79,393.76,520.62,184.41,213.29,237.41,330.1
N16,2,14750,731.75,-0.6,-0.21,2.59,0.05,0.07,52.86,45,103,113.87,122.32,148.77,10.92,10.59,10.46,10.28
N18,1,16690,1911.21,-1.05,-0.73,2.06,0.15,0.28,57,57,161.72,183.02,197.65,241.14,20.21,21.84,22.94,27.53
N20,2,11030,-0.54,-1.82,-1.73,1.17,0.37,0.76,0.1,5.4,4.16,3.42,2.94,1.79,1.15,1.03,0.95,0.69
N21,2,10040,2912.14,-0.43,-0.22,1.53,0.05,0.06,24,72,15.59,15.59,15.56,15.54,0.89,0.78,0.71,0.54
N22,2,8128,5837.53,-2.06,-0.98,15.16,0.48,0.84,411,471,377.09,415.31,442.44,534.61,292.25,336.53,363.78,452.56
N24,2,2696,23.87,-0.57,-0.21,2.19,0.03,0.05,20,4.3,11.43,11.27,11.13,10.62,1.27,1.23,1.2,1.1
N25,2,3780,2327.29,-1.09,-0.56,3.6,0.05,0.09,105,57,223.16,274.29,320.37,497.8,52.16,60.18,69.89,127.21
N26,2,947.5,20225.87,-1.24,-0.76,3.63,0.1,0.2,127,72,301.39,351.2,402.65,607.43,113.96,128.28,145.53,251.37
N28,2,13570,8221.24,-1.7,-0.68,11.95,0.34,0.56,238.61,596,424.59,478.08,521.81,673.39,270.5,312.75,349.14,493.61
N3,1,7044,4.9,-0.8,-0.55,1.62,0.05,0.12,11.4,3,4.57,4.37,4.2,3.79,1.08,1.03,0.98,0.82
N30,2,5970,17056.18,-0.68,-0.2,3.66,0.04,0.09,76.48,72,315.36,387.82,451.3,720.16,77.97,99.04,122.07,283.16
N4,1,8545,28.35,-1.32,-1.06,1.71,0.07,0.24,26.74,5.4,9.71,9.79,9.95,11.27,1.73,1.73,1.73,1.88
N5,2,5629,-0.64,-0.32,0.07,2.3,0.04,0.05,14.53,3,11.92,11.16,10.57,10.05,1.11,1.05,1,0.83
N6,2,7012,23658.28,-1.28,-0.46,8.35,0.15,0.3,138.47,91,344.11,387.13,424.35,599.64,149.8,170.32,188.94,300.61
N9,1,46640,3375.97,-1.49,-0.97,3.65,0.25,0.44,122.26,57,292,337,374,509,134,154,172,255
S1,1,11240,194,-2.01,-1.88,1.35,0.5,0.83,92,57,39.85,40.48,40.8,41.73,6.07,6.28,6.41,6.81
S10,1,10910,141,-1.89,-1.72,1.44,0.46,0.78,49,72,41.16,42.39,43.17,45.56,6.01,6.36,6.61,7.35
S11,1,14350,411,-2.07,-1.81,1.79,0.8,0.94,197,115,82.83,88.37,92.34,106.22,17.16,19.05,20.4,24.86
S6,1,12290,275,-0.89,-0.79,1.26,0.18,0.32,16,57,49.63,56.57,61.53,76.86,3.48,3.51,3.5,3.2
S7,1,10460,164,-2,-1.83,1.43,0.55,0.81,110,57,33.39,33.94,34.14,33.7,5.11,5.3,5.42,5.62
S8,1,11240,116,-1.92,-1.66,1.8,0.24,0.46,67,57,35.7,36.84,37.31,37.25,5.53,5.85,6.05,6.63
T1,2,58.8,-3.25,-0.42,-0.22,1.59,0.02,0.02,18,3,2.52,2.48,2.36,2.16,0.8,0.78,0.76,0.69
T2,2,12540,13.8,-1.11,-1.01,1.24,0.1,0.22,20,5.4,9.05,9.25,9.4,10.18,1.71,1.69,1.66,1.44
T3,2,107300,135,-0.9,-0.81,1.24,0.18,0.29,28,5.4,9.37,9.7,10.1,12.68,1.66,1.64,1.62,1.65
T4,2,1100,311,-0.46,-0.18,1.94,0.01,0.03,30,57,29.39,28.54,28.57,28.24,1.98,1.74,1.56,1.07
